flight_id,project,launch_date,launch_time,file,count,sonde_id,operator,account,bad,sounding_name,channel,tail_num,actype,std_comm,comm,sonde_type,sonde_rev,sonde_built,sens,freq,batt,firm,shut,basep,baset,baseh1,baseh2,dynmp,dynmt,dynmh,pltype,pltime,plpres,pltemp,pldewp,plhumi,plws,plwd,pllat,pllon,plalt
20201025H1,TS ZETA,10/25/2020,17:55:38,D20201025_175538.1,1,191930463,MAC,NHC,,DROP 1,1,N42RF,WP-3D Orion,Good Drop,DROP 1  IP 1  CH 1  1755Z,3,A2,20190821T171354Z,RSS421 NEO-M8Q-0-10,400.30 MHz,5.9 v,2.1,32768 sec,0.3 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),17:55:37,841.7 mb,19.2 C,14.9 C,76.40%,127.8 deg,12.0 m/s,-83.899600 deg,19.568500 deg,1575.8 m
20201025H1,TS ZETA,10/25/2020,18:06:06,D20201025_180606.2,2,191930422,MAC,NHC,,DROP 2,2,N42RF,WP-3D Orion,Good Drop,DROP 2  1ST MID IN  CH 2  1806Z,3,A2,20190821T162023Z,RSS421 NEO-M8Q-0-10,401.30 MHz,6.0 v,2.1,32768 sec,0.0 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),18:06:05,841.8 mb,18.8 C,17.6 C,92.70%,114.2 deg,8.7 m/s,-83.899700 deg,18.922200 deg,1564.1 m
20201025H1,TS ZETA,10/25/2020,18:21:36,D20201025_182136.3,3,191930504,MAC,NHC,,DROP 3,3,N42RF,WP-3D Orion,Good Drop,DROP 3  1ST CENTER  CH 3  1821Z,3,A2,20190821T161055Z,RSS421 NEO-M8Q-0-10,402.30 MHz,6.0 v,2.1,32768 sec,0.0 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),18:21:36,841.7 mb,20.2 C,16.5 C,79.10%,73.0 deg,0.9 m/s,-83.710400 deg,17.962500 deg,1548.6 m
20201025H1,TS ZETA,10/25/2020,18:33:30,D20201025_183330.4,4,191930425,MAC,NHC,,DROP 4,4,N42RF,WP-3D Orion,Good Drop,DROP 4  1ST MID OUT  CH 4  1833Z,3,A2,20190821T163949Z,RSS421 NEO-M8Q-0-10,403.30 MHz,5.9 v,2.1,32768 sec,0.8 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),18:33:29,841.6 mb,19.3 C,16.6 C,84.50%,303.9 deg,15.8 m/s,-83.703300 deg,17.152000 deg,1547.3 m
20201025H1,TS ZETA,10/25/2020,18:44:31,D20201025_184431.5,5,201730239,MAC,NHC,,DROP 5,5,N42RF,WP-3D Orion,Good Drop,DROP 5  1ST END PT  CH 5  1844Z,3,A2,20200707T181406Z,RSS421 NEO-M8Q-0-10,404.30 MHz,6.0 v,2.1,32768 sec,0.2 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),18:44:31,843.0 mb,18.4 C,17.2 C,92.40%,222.4 deg,18.6 m/s,-83.335400 deg,16.539500 deg,1554.5 m
20201025H1,TS ZETA,10/25/2020,18:56:50,D20201025_185650.6,6,192950890,MAC,NHC,,DROP 6,6,N42RF,WP-3D Orion,Good Drop,DROP 6  IP 2  CH 6  1856Z,3,A2,20190821T155155Z,RSS421 NEO-M8Q-0-10,405.30 MHz,6.0 v,2.1,32768 sec,0.0 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),18:56:50,841.6 mb,17.8 C,14.7 C,81.60%,210.8 deg,20.2 m/s,-82.593300 deg,16.851400 deg,1567.0 m
20201025H1,TS ZETA,10/25/2020,19:09:08,D20201025_190908.7,7,201440523,MAC,NHC,,DROP 7,7,N42RF,WP-3D Orion,Good Drop,DROP 7  2ND MID IN  CH 7  1909Z,3,A2,20200519T174331Z,RSS421 NEO-M8Q-0-10,400.30 MHz,5.9 v,2.1,32768 sec,-0.6 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),19:09:08,840.5 mb,18.7 C,19.9 C,100.00%,216.8 deg,11.0 m/s,-83.216700 deg,17.442100 deg,1532.2 m
20201025H1,TS ZETA,10/25/2020,19:14:51,D20201025_191451.8,8,191930466,MAC,NHC,,DROP 8,8,N42RF,WP-3D Orion,Good Drop,DROP 8  2ND CENTER  CH 8  1914Z,3,A2,20190821T173653Z,RSS421 NEO-M8Q-0-10,401.30 MHz,6.0 v,2.1,32768 sec,0.5 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),19:14:50,842.6 mb,20.1 C,17.6 C,85.40%,214.7 deg,1.6 m/s,-83.383100 deg,17.708900 deg,1518.4 m
20201025H1,TS ZETA,10/25/2020,19:27:35,D20201025_192735.1,9,201440138,MAC,NHC,,DROP 9,1,N42RF,WP-3D Orion,Good Drop,DROP 9  2ND MID OUT  CH 1  1927Z,3,A2,20200514T155648Z,RSS421 NEO-M8Q-0-10,402.30 MHz,6.0 v,2.1,32768 sec,-1.0 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),19:27:34,841.9 mb,20.6 C,16.4 C,77.00%,73.2 deg,7.1 m/s,-83.968800 deg,18.290300 deg,1536.5 m
20201025H1,TS ZETA,10/25/2020,19:37:46,D20201025_193746.2,10,201440408,MAC,NHC,,DROP 10,2,N42RF,WP-3D Orion,Good Drop,DROP 10  2ND END POINT  CH 2  1937Z,3,A2,20200527T194617Z,RSS421 NEO-M8Q-0-10,403.30 MHz,5.8 v,2.1,32768 sec,-0.6 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),19:37:45,842.6 mb,19.2 C,17.2 C,88.10%,72.0 deg,9.8 m/s,-84.488300 deg,18.751600 deg,1546.8 m
