flight_id,project,launch_date,launch_time,file,count,sonde_id,operator,account,bad,sounding_name,channel,tail_num,actype,std_comm,comm,sonde_type,sonde_rev,sonde_built,sens,freq,batt,firm,shut,basep,baset,baseh1,baseh2,dynmp,dynmt,dynmh,pltype,pltime,plpres,pltemp,pldewp,plhumi,plws,plwd,pllat,pllon,plalt
20200731N1,Science Test,2020-07-31,18:08:44,D20200731_180844.1,1,195120792,cfl,,,1,1,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20200114T182750Z,RSS421 NEO-M8Q-0-10,402.70 MHz,5.8 v,2.10,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),18:08:44,176.9 mb,-60.3 C,-47.0 C,-999.0 %,115.0 deg,11.0 m/s,-80.902700 deg,30.434600 deg,13204.4 m
20200731N1,Science Test,2020-07-31,18:22:26,D20200731_182226.2,2,195030230,cfl,,,2,2,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20200114T170347Z,RSS421 NEO-M8Q-0-10,403.70 MHz,5.8 v,2.10,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),18:22:26,176.9 mb,-59.3 C,-52.8 C,-999.0 %,97.3 deg,16.9 m/s,-79.421400 deg,30.931400 deg,13213.8 m
20200731N1,Science Test,2020-07-31,18:33:26,D20200731_183326.3,3,195020028,cfl,,,3,3,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20200114T165449Z,RSS421 NEO-M8Q-0-10,404.70 MHz,5.8 v,2.10,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),18:33:25,177.0 mb,-59.3 C,-69.9 C,23.9 %,115.0 deg,20.5 m/s,-77.987400 deg,30.999900 deg,13216.4 m
20200731N1,Science Test,2020-07-31,18:44:39,D20200731_184439.4,4,195030242,gd,,,3,4,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20200114T163719Z,RSS421 NEO-M8Q-0-10,405.70 MHz,5.7 v,2.10,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),18:44:39,177.0 mb,-57.8 C,-69.4 C,21.2 %,112.2 deg,18.6 m/s,-76.489200 deg,30.999900 deg,13223.3 m
20200731N1,Science Test,2020-07-31,18:55:56,D20200731_185556.1,5,195030243,gd,,,5,1,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20200114T165848Z,RSS421 NEO-M8Q-0-10,400.70 MHz,5.8 v,2.10,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),18:55:56,177.1 mb,-58.3 C,-69.5 C,22.3 %,103.2 deg,19.0 m/s,-74.985800 deg,30.999900 deg,13232.1 m
20200731N1,Science Test,2020-07-31,19:07:14,D20200731_190714.2,6,195030241,gd,,,6,2,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20200114T170747Z,RSS421 NEO-M8Q-0-10,401.70 MHz,5.8 v,2.10,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),19:07:14,177.1 mb,-58.1 C,-69.5 C,21.6 %,83.9 deg,19.4 m/s,-73.484500 deg,30.999900 deg,13243.0 m
20200731N1,Science Test,2020-07-31,19:17:50,D20200731_191750.3,7,195050508,gd,,,7,3,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20200114T171820Z,RSS421 NEO-M8Q-0-10,402.70 MHz,5.9 v,2.10,32768 sec,-0.5 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),19:17:50,170.2 mb,-60.0 C,-69.8 C,26.8 %,102.0 deg,15.0 m/s,-72.103600 deg,30.894400 deg,13495.3 m
20200731N1,Science Test,2020-07-31,19:31:48,D20200731_193148.4,8,193430935,gd,,,8,4,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20191213T175951Z,RSS421 NEO-M8Q-0-10,403.70 MHz,5.9 v,2.10,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),19:31:48,169.1 mb,-59.2 C,-70.1 C,22.8 %,240.0 deg,15.7 m/s,-72.124300 deg,29.287900 deg,13545.8 m
20200731N1,Science Test,2020-07-31,19:42:32,D20200731_194232.1,9,195030217,gd,,,9,1,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20200114T172250Z,RSS421 NEO-M8Q-0-10,404.70 MHz,5.9 v,2.10,32768 sec,-0.4 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),19:42:31,169.1 mb,-58.6 C,-70.2 C,21.2 %,238.4 deg,15.9 m/s,-73.508200 deg,29.199900 deg,13543.5 m
20200731N1,Science Test,2020-07-31,19:53:47,D20200731_195347.2,10,195030233,gd,,,10,2,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20200114T160019Z,RSS421 NEO-M8Q-0-10,405.70 MHz,5.7 v,2.10,32768 sec,-0.2 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),19:53:46,169.2 mb,-58.3 C,-70.0 C,21.0 %,222.6 deg,14.7 m/s,-75.011500 deg,29.199900 deg,13538.9 m
20200731N1,Science Test,2020-07-31,20:04:50,D20200731_200450.3,11,195110607,gd,,,11,3,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20200114T182309Z,RSS421 NEO-M8Q-0-10,400.70 MHz,5.9 v,2.10,32768 sec,-0.5 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),20:04:49,162.9 mb,-60.2 C,-70.0 C,26.6 %,211.8 deg,13.8 m/s,-76.516900 deg,29.199900 deg,13766.3 m
20200731N1,Science Test,2020-07-31,20:15:45,D20200731_201545.4,12,195040287,gd,,,12,4,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20200114T181819Z,RSS421 NEO-M8Q-0-10,401.70 MHz,5.9 v,2.10,32768 sec,-0.4 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),20:15:44,161.3 mb,-60.4 C,-70.8 C,24.1 %,214.7 deg,13.2 m/s,-78.012000 deg,29.199900 deg,13815.7 m
20200731N1,Science Test,2020-07-31,20:25:54,D20200731_202554.1,13,195021051,gd,,,13,1,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20200114T175917Z,RSS421 NEO-M8Q-0-10,403.70 MHz,5.9 v,2.10,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),20:25:54,161.3 mb,-60.6 C,-71.0 C,24.2 %,205.3 deg,16.6 m/s,-79.348100 deg,29.091500 deg,13801.8 m
20200731N1,Science Test,2020-07-31,20:40:23,D20200731_204023.2,14,194930210,cfl,,,14,2,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20200114T175158Z,RSS421 NEO-M8Q-0-10,404.70 MHz,5.9 v,2.10,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),20:40:22,161.4 mb,-59.9 C,-70.3 C,24.3 %,185.9 deg,13.8 m/s,-78.847200 deg,27.509400 deg,13819.2 m
20200731N1,Science Test,2020-07-31,20:52:34,D20200731_205234.3,15,192411075,cfl,,,15,3,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20191227T193305Z,RSS421 NEO-M8Q-0-10,405.70 MHz,5.8 v,2.10,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),20:52:33,161.1 mb,-60.7 C,-70.2 C,27.6 %,190.5 deg,20.4 m/s,-78.218100 deg,26.283800 deg,13838.1 m
20200731N1,Science Test,2020-07-31,21:02:33,D20200731_210233.4,16,194930181,cfl,,,16,4,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20200106T173555Z,RSS421 NEO-M8Q-0-10,400.70 MHz,5.9 v,2.10,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),21:02:32,161.2 mb,-60.7 C,-70.6 C,25.9 %,201.6 deg,19.9 m/s,-77.175300 deg,27.195200 deg,13842.2 m
20200731N1,Science Test,2020-07-31,21:12:33,D20200731_211233.1,17,195030246,cfl,,,17,1,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20200114T172847Z,RSS421 NEO-M8Q-0-10,402.70 MHz,5.8 v,2.10,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),21:12:32,153.7 mb,-63.6 C,-72.1 C,30.6 %,211.3 deg,18.9 m/s,-75.785400 deg,27.575000 deg,14147.1 m
20200731N1,Science Test,2020-07-31,21:26:14,D20200731_212614.2,18,194930180,cfl,,,18,2,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20200106T181547Z,RSS421 NEO-M8Q-0-10,403.70 MHz,5.8 v,2.10,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),21:26:13,153.7 mb,-64.3 C,-72.8 C,30.6 %,226.4 deg,17.0 m/s,-73.979600 deg,27.004400 deg,14159.6 m
20200731N1,Science Test,2020-07-31,21:40:38,D20200731_214038.4,19,192350637,cfl,,,19 backup,4,N49RF,Gulfstream G-IV SP,Good Drop,backup for previous drop (late LD),3,A2,20191227T201138Z,RSS421 NEO-M8Q-0-10,405.70 MHz,5.7 v,2.10,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),21:40:38,153.7 mb,-64.6 C,-72.8 C,31.3 %,244.4 deg,15.6 m/s,-71.974400 deg,26.834300 deg,14161.8 m
20200731N1,Science Test,2020-07-31,21:41:58,D20200731_214158.3,20,194830153,cfl,,,19,3,N49RF,Gulfstream G-IV SP,,very late launch detect 225mb,3,A2,20200106T193224Z,RSS421 NEO-M8Q-0-10,404.70 MHz,5.7 v,2.10,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),21:41:57,153.8 mb,-64.1 C,-72.8 C,29.7 %,245.6 deg,16.4 m/s,-71.895700 deg,26.691400 deg,14166.2 m
20200731N1,Science Test,2020-07-31,21:51:10,D20200731_215110.1,21,192040295,cfl,,,pt 20,1,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20191227T185425Z,RSS421 NEO-M8Q-0-10,400.70 MHz,5.9 v,2.10,32768 sec,0.2 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),21:51:09,153.6 mb,-64.7 C,-72.2 C,35.0 %,255.3 deg,17.5 m/s,-71.664400 deg,25.644200 deg,14163.3 m
20200731N1,Science Test,2020-07-31,22:02:01,D20200731_220201.2,22,194930170,cfl,,,pt 21,2,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20200106T194753Z,RSS421 NEO-M8Q-0-10,401.70 MHz,5.9 v,2.10,32768 sec,-0.3 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),22:01:59,153.7 mb,-64.4 C,-72.7 C,31.4 %,241.1 deg,18.9 m/s,-72.950800 deg,25.877500 deg,14165.9 m
20200731N1,Science Test,2020-07-31,22:16:44,D20200731_221644.3,23,192040285,gd,,,pt 22,3,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20191227T191657Z,RSS421 NEO-M8Q-0-10,402.70 MHz,5.7 v,2.10,32768 sec,0.3 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),22:16:43,153.7 mb,-64.6 C,-72.0 C,35.5 %,195.1 deg,19.7 m/s,-73.834900 deg,24.493000 deg,14169.7 m
20200731N1,Science Test,2020-07-31,22:25:57,D20200731_222557.4,24,192040292,gd,,,pt 23,4,N49RF,Gulfstream G-IV SP,Good Drop,,3,A2,20191227T195930Z,RSS421 NEO-M8Q-0-10,403.70 MHz,5.9 v,2.10,32768 sec,0.3 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),22:25:56,153.7 mb,-63.3 C,-73.0 C,25.5 %,199.3 deg,19.9 m/s,-74.670600 deg,25.327900 deg,14175.2 m
