flight_id,project,launch_date,launch_time,file,count,sonde_id,operator,account,bad,sounding_name,channel,tail_num,actype,std_comm,comm,sonde_type,sonde_rev,sonde_built,sens,freq,batt,firm,shut,basep,baset,baseh1,baseh2,dynmp,dynmt,dynmh,pltype,pltime,plpres,pltemp,pldewp,plhumi,plws,plwd,pllat,pllon,plalt
20210816H1,TD Grace,2021-08-16,08:59:06,D20210816_085906.1,1,192940092,JGW,,,Drop 1,1,N42RF,WP-3D Orion,Good Drop,,3,A2,20190822T174719Z,RSS421 NEO-M8Q-0-10,404.66 MHz,5.7 v,2.10,32768 sec,-1.2 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),08:59:06,525.6 mb,-1.4 C,-12.3 C,43.6 %,79.3 deg,3.9 m/s,-78.370100 deg,23.871200 deg,5508.4 m
20210816H1,TD Grace,2021-08-16,09:57:25,D20210816_095725.2,2,203040297,JGW,,,Drop 2,2,N42RF,WP-3D Orion,Good Drop,,3,A2,20200826T171637Z,RSS421 NEO-M8Q-0-10,401.30 MHz,5.6 v,2.10,32768 sec,-0.7 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),09:57:24,525.5 mb,-2.5 C,-15.7 C,35.7 %,83.1 deg,3.6 m/s,-75.511600 deg,19.136900 deg,5502.3 m
20210816H1,TD Grace,2021-08-16,10:13:20,D20210816_101320.3,3,192540726,JGW,,,Drop 3,3,N42RF,WP-3D Orion,Good Drop,,3,A2,20190822T180140Z,RSS421 NEO-M8Q-0-10,402.30 MHz,6.0 v,2.10,32768 sec,-0.9 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),10:13:20,523.0 mb,-2.3 C,-15.9 C,34.3 %,36.8 deg,7.6 m/s,-74.442900 deg,18.189500 deg,5528.9 m
20210816H1,TD Grace,2021-08-16,10:41:55,D20210816_104155.4,4,203040915,JGW,,,Drop 4,4,N42RF,WP-3D Orion,Good Drop,,3,A2,20200825T194549Z,RSS421 NEO-M8Q-0-10,403.30 MHz,5.8 v,2.10,32768 sec,-0.8 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),10:41:54,668.3 mb,7.0 C,3.7 C,79.7 %,336.9 deg,4.8 m/s,-72.129100 deg,17.324600 deg,3541.6 m
20210816H1,TD Grace,2021-08-16,10:55:06,D20210816_105506.5,5,192540910,JGW,,,Drop 5,5,N42RF,WP-3D Orion,Weak Telemetry,GPS lost at 9700 ft,3,A2,20190826T162825Z,RSS421 NEO-M8Q-0-10,404.30 MHz,6.1 v,2.10,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),10:55:05,668.2 mb,8.0 C,4.2 C,77.2 %,359.4 deg,8.2 m/s,-71.147900 deg,17.361200 deg,3533.4 m
20210816H1,TD Grace,2021-08-16,10:58:23,D20210816_105823.6,6,192540695,JGW,,,Drop 6,6,N42RF,WP-3D Orion,Weak Telemetry,Lost GPS at 9264 ft,3,A2,20190826T170818Z,RSS421 NEO-M8Q-0-10,405.30 MHz,6.1 v,2.10,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),10:58:22,669.1 mb,8.0 C,5.4 C,83.9 %,334.3 deg,6.0 m/s,-70.905300 deg,17.371000 deg,3522.9 m
20210816H1,TD Grace,2021-08-16,11:03:42,D20210816_110342.7,7,192620333,JGW,,,Drop 7,7,N42RF,WP-3D Orion,Good Drop,,3,A2,20190826T172026Z,RSS421 NEO-M8Q-0-10,400.30 MHz,6.1 v,2.10,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),11:03:41,668.5 mb,7.7 C,5.8 C,87.8 %,243.7 deg,10.0 m/s,-70.497900 deg,17.387800 deg,3512.0 m
20210816H1,TD Grace,2021-08-16,11:17:48,D20210816_111748.8,8,192950650,JGW,,,Drop 8,8,N42RF,WP-3D Orion,Good Drop,,3,A2,20190821T153854Z,RSS421 NEO-M8Q-0-10,401.30 MHz,6.0 v,2.10,32768 sec,-0.5 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),11:17:48,669.3 mb,7.4 C,4.4 C,80.9 %,156.1 deg,1.2 m/s,-69.723200 deg,16.775900 deg,3528.7 m
20210816H1,TD Grace,2021-08-16,11:28:44,D20210816_112844.1,9,192940174,JGW,,,Drop 9,1,N42RF,WP-3D Orion,Good Drop,,3,A2,20190823T184219Z,RSS421 NEO-M8Q-0-10,402.30 MHz,6.1 v,2.10,32768 sec,-0.8 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),11:28:43,668.8 mb,7.2 C,4.2 C,81.4 %,158.6 deg,9.0 m/s,-69.164400 deg,16.237600 deg,3541.0 m
20210816H1,TD Grace,2021-08-16,11:56:56,D20210816_115656.2,10,192940112,JGW,,,Drop 10,2,N42RF,WP-3D Orion,Good Drop,,3,A2,20190822T163658Z,RSS421 NEO-M8Q-0-10,403.30 MHz,6.1 v,2.10,32768 sec,0.0 mb,0.0 C,0.0 %,0.0 %,0.0 mb,0.0 C,0.0 %,IWGADTS Format (IWG1),11:56:56,668.5 mb,6.5 C,4.8 C,88.9 %,117.3 deg,11.2 m/s,-69.648300 deg,18.234000 deg,3536.6 m
