flight_id,project,launch_date,launch_time,file,count,sonde_id,operator,account,bad,sounding_name,channel,tail_num,actype,std_comm,comm,sonde_type,sonde_rev,sonde_built,sens,freq,batt,firm,shut,basep,baset,baseh1,baseh2,dynmp,dynmt,dynmh,pltype,pltime,plpres,pltemp,pldewp,plhumi,plws,plwd,pllat,pllon,plalt
20230910I2,Hurricane Lee,9/10/2023,21:28:51,D20230910_212851.1,1,221220349,lw,NWS,,drop 1,1,N43RF,WP-3D,Good Drop,,3,A2,20220921T220729Z,RSS421 NEO-M8Q-0-10,400.40 MHz,5.9 v,2.11,32768 sec,0.0 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),21:28:50,695.3 mb,10.7 C,-79.1 C,0.00%,335.0 deg,20.1 m/s,-63.418000 deg,21.232700 deg,3178.6 m
20230910I2,Hurricane Lee,9/10/2023,21:41:57,D20230910_214157.2,2,220910337,lw,NWS,,drop 2,2,N43RF,WP-3D,Good Drop,,3,A2,20220623T165020Z,RSS421 NEO-M8Q-0-10,401.40 MHz,5.9 v,2.11,32768 sec,-0.9 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),21:41:56,695.6 mb,12.3 C,-79.1 C,0.00%,322.5 deg,31.5 m/s,-62.585400 deg,21.661300 deg,3105.2 m
20230910I2,Hurricane Lee,9/10/2023,21:52:37,D20230910_215237.3,3,221220374,lw,NWS,,drop 3,3,N43RF,WP-3D,Good Drop,,3,A2,20220921T202641Z,RSS421 NEO-M8Q-0-10,402.40 MHz,6.1 v,2.11,32768 sec,1.5 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),21:52:36,695.3 mb,14.2 C,-79.1 C,0.00%,316.4 deg,50.3 m/s,-61.924000 deg,22.046800 deg,2867.5 m
20230910I2,Hurricane Lee,9/10/2023,21:53:18,D20230910_215318.4,4,221240693,lw,ONR,,drop 4,4,N43RF,WP-3D,Good Drop,,3,A2,20220714T184905Z,RSS421 NEO-M8Q-0-10,403.40 MHz,6.1 v,2.11,32768 sec,-0.7 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),21:53:18,695.8 mb,15.5 C,-79.1 C,0.00%,318.7 deg,39.0 m/s,-61.885300 deg,22.077500 deg,2812.3 m
20230910I2,Hurricane Lee,9/10/2023,21:53:42,D20230910_215342.5,5,221220351,lw,ONR,,drop 5,5,N43RF,WP-3D,Good Drop,,3,A2,20220922T154002Z,RSS421 NEO-M8Q-0-10,404.40 MHz,6.1 v,2.11,32768 sec,-0.4 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),21:53:41,696.5 mb,16.1 C,-79.1 C,0.00%,315.6 deg,31.1 m/s,-61.863300 deg,22.094100 deg,2789.8 m
20230910I2,Hurricane Lee,9/10/2023,21:56:12,D20230910_215612.6,6,214620038,lw,NWS,,drop 6,6,N43RF,WP-3D,Good Drop,,3,A2,20220622T192907Z,RSS421 NEO-M8Q-0-10,405.40 MHz,6.1 v,2.11,32768 sec,-0.8 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),21:56:12,694.6 mb,17.3 C,-79.1 C,0.00%,357.9 deg,1.2 m/s,-61.726700 deg,22.215800 deg,2764.1 m
20230910I2,Hurricane Lee,9/10/2023,22:00:18,D20230910_220018.7,7,221310239,lw,NWS,,drop 7,7,N43RF,WP-3D,Good Drop,,3,A2,20220831T191604Z,RSS421 NEO-M8Q-0-10,400.58 MHz,6.2 v,2.11,32768 sec,-0.5 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),22:00:17,695.3 mb,16.0 C,-79.1 C,0.00%,149.9 deg,42.3 m/s,-61.468400 deg,22.363600 deg,2826.3 m
20230910I2,Hurricane Lee,9/10/2023,22:00:46,D20230910_220046.8,8,221410433,lw,ONR,,drop 8,8,N43RF,WP-3D,Good Drop,,3,A2,20220718T201802Z,RSS421 NEO-M8Q-0-10,401.58 MHz,6.2 v,2.11,32768 sec,-0.7 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),22:00:45,695.6 mb,14.8 C,-79.1 C,0.00%,150.5 deg,50.1 m/s,-61.439400 deg,22.379000 deg,2840.0 m
20230910I2,Hurricane Lee,9/10/2023,22:01:18,D20230910_220118.1,9,221220217,lw,ONR,,drop 9,1,N43RF,WP-3D,Good Drop,,3,A2,20220921T220409Z,RSS421 NEO-M8Q-0-10,402.58 MHz,6.1 v,2.11,32768 sec,-0.7 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),22:01:17,695.4 mb,14.2 C,-79.1 C,0.00%,149.9 deg,51.8 m/s,-61.407300 deg,22.395700 deg,2873.0 m
20230910I2,Hurricane Lee,9/10/2023,22:11:03,D20230910_221103.2,10,221240128,lw,NWS,,drop 10,2,N43RF,WP-3D,Good Drop,,3,A2,20220922T153020Z,RSS421 NEO-M8Q-0-10,403.58 MHz,6.2 v,2.11,32768 sec,-0.3 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),22:11:02,695.1 mb,10.8 C,-79.1 C,0.00%,151.5 deg,30.3 m/s,-60.808100 deg,22.709100 deg,3090.9 m
20230910I2,Hurricane Lee,9/10/2023,22:17:59,D20230910_221759.3,11,220920153,lw,NWS,,drop 11,3,N43RF,WP-3D,Good Drop,,3,A2,20220901T171100Z,RSS421 NEO-M8Q-0-10,404.58 MHz,6.2 v,2.11,32768 sec,-0.5 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),22:17:58,696.1 mb,10.4 C,-79.1 C,0.00%,145.5 deg,30.1 m/s,-60.369200 deg,22.941900 deg,3131.7 m
20230910I2,Hurricane Lee,9/10/2023,22:42:59,D20230910_224259.4,12,221630783,lw,NWS,,drop 12,4,N43RF,WP-3D,Good Drop,,3,A2,20220901T164213Z,RSS421 NEO-M8Q-0-10,405.58 MHz,6.0 v,2.11,32768 sec,-0.5 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),22:42:58,695.5 mb,10.6 C,9.4 C,92.50%,83.4 deg,28.2 m/s,-61.892400 deg,24.036100 deg,3158.6 m
20230910I2,Hurricane Lee,9/10/2023,22:55:59,D20230910_225559.5,13,221310233,lw,NWS,,drop 13,5,N43RF,WP-3D,Good Drop,,3,A2,20220831T193153Z,RSS421 NEO-M8Q-0-10,400.42 MHz,6.1 v,2.11,32768 sec,-0.6 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),22:55:58,695.7 mb,10.4 C,12.2 C,100.00%,81.1 deg,36.2 m/s,-61.822700 deg,23.134600 deg,3072.8 m
20230910I2,Hurricane Lee,9/10/2023,23:02:33,D20230910_230233.5,14,220430190,lw,NWS,B,drop 21,5,N43RF,WP-3D,No Launch Detect,,3,A2,20220622T193314Z,RSS421 NEO-M8Q-0-10,402.58 MHz,6.2 v,2.11,32768 sec,0.0 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),0:00:00,9999.0 mb,99.0 C,99.0 C,999.00%,999.0 deg,999.0 m/s,999.000000 deg,99.000000 deg,9999.0 m
20230910I2,Hurricane Lee,9/10/2023,23:04:24,D20230910_230424.6,15,221310244,lw,ONR,,drop 14,6,N43RF,WP-3D,Good Drop,,3,A2,20220901T184241Z,RSS421 NEO-M8Q-0-10,401.42 MHz,6.0 v,2.11,32768 sec,-0.5 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),23:04:23,695.3 mb,13.5 C,15.5 C,100.00%,83.8 deg,55.6 m/s,-61.782400 deg,22.580100 deg,2867.0 m
20230910I2,Hurricane Lee,9/10/2023,23:05:07,D20230910_230507.7,16,221310238,lw,ONR,,drop 15,7,N43RF,WP-3D,Good Drop,,3,A2,20220831T172658Z,RSS421 NEO-M8Q-0-10,402.42 MHz,6.1 v,2.11,32768 sec,-0.6 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),23:05:06,694.8 mb,14.1 C,27.4 C,-999.00%,87.2 deg,51.2 m/s,-61.781800 deg,22.531900 deg,2822.5 m
20230910I2,Hurricane Lee,9/10/2023,23:05:42,D20230910_230542.8,17,221230520,lw,NWS,,drop 16,8,N43RF,WP-3D,Good Drop,,3,A2,20220719T132208Z,RSS421 NEO-M8Q-0-10,403.42 MHz,6.2 v,2.11,32768 sec,-0.8 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),23:05:41,696.0 mb,15.8 C,25.8 C,-999.00%,92.3 deg,33.8 m/s,-61.781800 deg,22.492700 deg,2780.0 m
20230910I2,Hurricane Lee,9/10/2023,23:08:35,D20230910_230835.1,18,221230705,lw,NWS,,drop 17,1,N43RF,WP-3D,Good Drop,,3,A2,20220719T133457Z,RSS421 NEO-M8Q-0-10,404.42 MHz,6.0 v,2.11,32768 sec,-1.0 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),23:08:34,696.0 mb,16.8 C,17.6 C,100.00%,348.1 deg,2.1 m/s,-61.804700 deg,22.291400 deg,2739.9 m
20230910I2,Hurricane Lee,9/10/2023,23:11:58,D20230910_231158.2,19,220620182,lw,NWS,,drop 18,2,N43RF,WP-3D,Good Drop,,3,A2,20220617T133624Z,RSS421 NEO-M8Q-0-10,405.42 MHz,6.2 v,2.11,32768 sec,-0.5 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),23:11:58,695.4 mb,15.5 C,16.9 C,100.00%,271.7 deg,44.5 m/s,-61.805000 deg,22.054100 deg,2840.1 m
20230910I2,Hurricane Lee,9/10/2023,23:12:32,D20230910_231232.3,20,221631323,lw,ONR,,drop 19,3,N43RF,WP-3D,Good Drop,,3,A2,20220922T154443Z,RSS421 NEO-M8Q-0-10,400.58 MHz,6.1 v,2.11,32768 sec,-0.6 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),23:12:31,696.4 mb,15.3 C,15.7 C,100.00%,264.0 deg,50.7 m/s,-61.805400 deg,22.018000 deg,2861.6 m
20230910I2,Hurricane Lee,9/10/2023,23:13:33,D20230910_231333.4,21,220910105,lw,ONR,,drop 20,4,N43RF,WP-3D,Good Drop,,3,A2,20220623T165821Z,RSS421 NEO-M8Q-0-10,401.58 MHz,6.1 v,2.11,32768 sec,-0.7 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),23:13:32,696.1 mb,15.8 C,13.1 C,84.40%,260.7 deg,45.5 m/s,-61.804600 deg,21.954500 deg,2913.0 m
20230910I2,Hurricane Lee,9/10/2023,23:22:48,D20230910_232248.6,22,220620251,lw,NWS,,drop 22,6,N43RF,WP-3D,Good Drop,,3,A2,20220617T154845Z,RSS421 NEO-M8Q-0-10,403.58 MHz,6.1 v,2.11,32768 sec,-0.5 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),23:22:47,695.5 mb,12.2 C,9.8 C,85.70%,269.4 deg,31.8 m/s,-61.803000 deg,21.338700 deg,3098.0 m
20230910I2,Hurricane Lee,9/10/2023,23:33:26,D20230910_233326.7,23,221250025,lw,NWS,,drop 23,7,N43RF,WP-3D,Good Drop,,3,A2,20220719T134306Z,RSS421 NEO-M8Q-0-10,404.58 MHz,6.1 v,2.11,32768 sec,-0.9 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),23:33:25,695.4 mb,10.6 C,7.5 C,81.20%,260.0 deg,27.0 m/s,-61.609400 deg,20.668500 deg,3171.3 m
20230910I2,Hurricane Lee,9/10/2023,23:53:47,D20230910_235347.8,24,221250028,lw,NWS,,drop 24,8,N43RF,WP-3D,Good Drop,,3,A2,20220719T131814Z,RSS421 NEO-M8Q-0-10,405.58 MHz,6.2 v,2.11,32768 sec,-0.7 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),23:53:47,750.9 mb,14.2 C,11.0 C,81.20%,204.6 deg,27.4 m/s,-60.333400 deg,21.558900 deg,2512.1 m
20230910I2,Hurricane Lee,9/11/2023,0:05:56,D20230911_000556.1,25,220620263,lw,NWS,,drop 25,1,N43RF,WP-3D,Good Drop,,3,A2,20220617T151224Z,RSS421 NEO-M8Q-0-10,400.42 MHz,6.2 v,2.11,32768 sec,-0.6 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),0:05:55,751.2 mb,15.1 C,16.2 C,100.00%,202.7 deg,34.5 m/s,-61.076800 deg,22.025500 deg,2422.9 m
20230910I2,Hurricane Lee,9/11/2023,0:12:05,D20230911_001205.2,26,221060112,lw,NWS,,drop 26,2,N43RF,WP-3D,Good Drop,,3,A2,20220901T172609Z,RSS421 NEO-M8Q-0-10,401.42 MHz,5.9 v,2.11,32768 sec,-0.1 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),0:12:04,750.5 mb,16.4 C,16.5 C,100.00%,192.2 deg,45.6 m/s,-61.483000 deg,22.241700 deg,2287.5 m
20230910I2,Hurricane Lee,9/11/2023,0:13:13,D20230911_001313.3,27,221250001,lw,NWS,,drop 27,3,N43RF,WP-3D,Good Drop,,3,A2,20220714T190347Z,RSS421 NEO-M8Q-0-10,402.42 MHz,5.9 v,2.11,32768 sec,-0.6 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),0:13:13,751.2 mb,17.6 C,15.7 C,88.10%,197.7 deg,47.9 m/s,-61.560300 deg,22.268500 deg,2227.7 m
20230910I2,Hurricane Lee,9/11/2023,0:13:49,D20230911_001349.4,28,221340052,lw,ONR,,drop 28,4,N43RF,WP-3D,Good Drop,,3,A2,20220718T193003Z,RSS421 NEO-M8Q-0-10,403.42 MHz,6.2 v,2.11,32768 sec,-0.6 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),0:13:49,750.4 mb,17.4 C,18.3 C,100.00%,196.4 deg,48.8 m/s,-61.599100 deg,22.278100 deg,2201.8 m
20230910I2,Hurricane Lee,9/11/2023,0:18:22,D20230911_001822.5,29,221210166,lw,ONR,,drop 29,5,N43RF,WP-3D,Good Drop,,3,A2,20220921T202238Z,RSS421 NEO-M8Q-0-10,404.42 MHz,6.2 v,2.11,32768 sec,-0.4 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),0:18:22,751.9 mb,20.0 C,18.4 C,90.40%,261.8 deg,1.5 m/s,-61.910700 deg,22.362200 deg,2059.8 m
20230910I2,Hurricane Lee,9/11/2023,0:20:59,D20230911_002059.6,30,221210042,lw,NWS,,drop 30,6,N43RF,WP-3D,Good Drop,,3,A2,20220831T203413Z,RSS421 NEO-M8Q-0-10,405.42 MHz,6.1 v,2.11,32768 sec,-0.4 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),0:20:58,751.4 mb,17.7 C,19.0 C,100.00%,22.4 deg,33.6 m/s,-62.089800 deg,22.420300 deg,2105.7 m
20230910I2,Hurricane Lee,9/11/2023,0:21:52,D20230911_002152.7,31,220610146,lw,NWS,,drop 31,7,N43RF,WP-3D,Good Drop,,3,A2,20220620T135507Z,RSS421 NEO-M8Q-0-10,400.58 MHz,6.0 v,2.11,32768 sec,-0.8 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),0:21:51,749.6 mb,15.5 C,19.7 C,100.00%,20.7 deg,52.0 m/s,-62.148700 deg,22.440600 deg,2184.9 m
20230910I2,Hurricane Lee,9/11/2023,0:22:26,D20230911_002226.8,32,221330761,lw,ONR,,drop 32,8,N43RF,WP-3D,Good Drop,,3,A2,20220718T172010Z,RSS421 NEO-M8Q-0-10,401.58 MHz,6.1 v,2.11,32768 sec,-0.5 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),0:22:26,751.3 mb,15.7 C,19.9 C,100.00%,20.2 deg,52.8 m/s,-62.185600 deg,22.453000 deg,2208.7 m
20230910I2,Hurricane Lee,9/11/2023,0:32:38,D20230911_003238.1,33,221230522,lw,ONR,,drop 33,1,N43RF,WP-3D,Good Drop,,3,A2,20220719T134635Z,RSS421 NEO-M8Q-0-10,402.58 MHz,6.1 v,2.11,32768 sec,-0.8 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),0:32:38,751.6 mb,14.4 C,15.8 C,100.00%,23.7 deg,34.7 m/s,-62.797300 deg,22.747100 deg,2447.9 m
20230910I2,Hurricane Lee,9/11/2023,0:46:20,D20230911_004620.2,34,221010462,lw,NWS,,drop 34,2,N43RF,WP-3D,Good Drop,,3,A2,20220714T173129Z,RSS421 NEO-M8Q-0-10,403.58 MHz,5.8 v,2.11,32768 sec,-0.5 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),0:46:19,751.1 mb,13.9 C,14.9 C,100.00%,34.3 deg,27.0 m/s,-63.649400 deg,23.175000 deg,2525.8 m
20230910I2,Hurricane Lee,9/11/2023,1:38:12,D20230911_013812.3,35,221150719,lw,HRD,,drop 35,3,N43RF,WP-3D,Good Drop,,3,A2,20220714T171105Z,RSS421 NEO-M8Q-0-10,404.58 MHz,6.0 v,2.11,32768 sec,-0.4 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),1:38:12,751.6 mb,16.8 C,17.4 C,100.00%,141.2 deg,55.3 m/s,-61.732900 deg,22.590400 deg,2207.8 m
20230910I2,Hurricane Lee,9/11/2023,2:28:44,D20230911_022844.4,36,221630749,lw,HRD,,drop 36,4,N43RF,WP-3D,Good Drop,,3,A2,20220831T174615Z,RSS421 NEO-M8Q-0-10,405.58 MHz,6.2 v,2.11,32768 sec,-0.2 mb,0.0 C,0.00%,0.00%,0.0 mb,0.0 C,0.00%,IWGADTS Format (IWG1),2:28:44,749.7 mb,16.8 C,18.3 C,100.00%,87.3 deg,58.4 m/s,-62.100000 deg,22.749900 deg,2189.0 m
